,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,group,ordered_group,sample
12,gs_ind_0,PI3K-Akt signaling pathway,42/147,5.096846346772992e-05,0.000318552896673312,2.7919345412039744,COL6A2_ITGA2;COL4A5_ITGB1;LAMC1_ITGB1;FN1_ITGA6;LAMB2_ITGB1;COL6A2_ITGB1;TNC_ITGB1;LAMB3_ITGA2;FN1_ITGB6;LAMA5_ITGB1;COL4A5_ITGA2;COL4A6_ITGAV;SPP1_ITGB5;COL4A6_ITGB1;COL6A1_ITGB1;COL6A1_ITGA2;COL1A1_ITGA2;FN1_ITGB1;LAMA5_ITGA2;COL4A1_ITGA2;COMP_ITGB1;LAMC1_ITGA2;COL4A1_ITGB1;COL4A5_ITGAV;TNC_ITGB6;TNC_ITGAV;COL6A3_ITGB1;LAMB3_ITGB1;VEGFA_EGFR;FN1_ITGA2;COL1A2_ITGB1;THBS2_ITGB1;COL1A1_ITGB1;FN1_ITGAV;COL4A6_ITGA2;TNC_ITGA2;COL4A6_ITGA1;SPP1_ITGB1;SPP1_ITGAV;COL6A3_ITGA2;COL1A2_ITGA2;THBS1_ITGB1,1,1,G2
15,gs_ind_0,Platelet activation,6/8,0.0008867961826742054,0.004433980913371027,4.232382061735585,COL3A1_ITGB1;COL1A1_ITGA2;COL1A2_ITGA2;COL1A2_ITGB1;COL1A1_ITGB1;COL3A1_ITGA2,1,1,G2
16,gs_ind_0,Proteoglycans in cancer,10/20,0.0014172569658998796,0.005905237357916165,2.9464988198269078,FN1_ITGAV;HSPG2_ITGA2;FN1_SDC2;COL1A2_ITGA2;HSPG2_ITGB1;COL1A1_ITGA2;FN1_ITGB1;FN1_ITGA2;COL1A2_ITGB1;COL1A1_ITGB1,1,1,G2
20,gs_ind_0,Small cell lung cancer,19/55,0.002468708657933648,0.008816816635477313,2.1783783783783783,COL4A5_ITGB1;LAMC1_ITGB1;LAMB2_ITGB1;FN1_ITGA6;LAMB3_ITGA2;COL4A5_ITGA2;LAMA5_ITGB1;COL4A6_ITGAV;COL4A6_ITGB1;FN1_ITGB1;LAMA5_ITGA2;COL4A1_ITGA2;COL4A5_ITGAV;COL4A1_ITGB1;LAMC1_ITGA2;LAMB3_ITGB1;FN1_ITGA2;FN1_ITGAV;COL4A6_ITGA2,1,1,G2
0,gs_ind_0,Antigen processing and presentation,2/2,0.003246519010172426,0.03571170911189669,19.470588235294116,HLA-B_KLRD1;HLA-E_KLRD1,2,2,H1
7,gs_ind_0,Graft-versus-host disease,2/2,0.003246519010172426,0.03571170911189669,19.470588235294116,HLA-B_KLRD1;HLA-E_KLRD1,2,2,H1
1,gs_ind_0,ECM-receptor interaction,8/61,0.005184983933425765,0.016851197783633736,5.88780487804878,LAMB2_ITGB1;COL4A1_ITGB1;COL6A1_ITGB1;COL6A2_ITGB1;FN1_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;COMP_ITGB1,5,5,H1
3,gs_ind_0,Focal adhesion,8/60,0.004576578320096527,0.016851197783633736,6.041322314049586,LAMB2_ITGB1;COL4A1_ITGB1;COL6A1_ITGB1;COL6A2_ITGB1;FN1_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;COMP_ITGB1,5,5,H1
4,gs_ind_0,Human papillomavirus infection,8/67,0.010419991795540021,0.025164116818885352,5.062222222222222,LAMB2_ITGB1;COL4A1_ITGB1;COL6A1_ITGB1;COL6A2_ITGB1;FN1_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;COMP_ITGB1,5,5,H1
5,gs_ind_0,PI3K-Akt signaling pathway,8/68,0.011614207762562471,0.025164116818885352,4.938686131386861,LAMB2_ITGB1;COL4A1_ITGB1;COL6A1_ITGB1;COL6A2_ITGB1;FN1_ITGB1;COL1A2_ITGB1;COL1A1_ITGB1;COMP_ITGB1,5,5,H1
7,gs_ind_0,Platelet activation,3/3,0.00015740698231139031,0.002046290770048074,21.933333333333334,COL1A2_ITGB1;COL3A1_ITGB1;COL1A1_ITGB1,5,5,H1
8,gs_ind_0,Proteoglycans in cancer,4/10,0.0011771952764184797,0.007651769296720117,10.384615384615385,COL1A2_ITGB1;HSPG2_ITGB1;COL1A1_ITGB1;FN1_ITGB1,5,5,H1
6,gs_ind_0,Chemokine signaling pathway,8/16,0.0006711992438953861,0.02617677051192006,4.218673218673219,CXCL14_CXCR4;CXCL9_CXCR3;CCL21_CXCR3;CXCL12_CXCR4;CCL19_CXCR3;CCL21_CCR7;CCL19_CCR7;CCL5_CXCR3,6,6,H1
