,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster,ordered_cluster
12,KEGG_2021_Human,Focal adhesion,5/201,1.337589882385776e-06,8.231322353143237e-06,0,0,33.64625850340136,455.0535725896941,COL1A1;ITGA4;FN1;ITGAV;ITGB7,1,1
13,KEGG_2021_Human,Proteoglycans in cancer,5/205,1.473834779767606e-06,8.421913027243463e-06,0,0,32.96666666666667,442.6646262909155,COL1A1;FN1;SDC1;ITGAV;CD44,1,1
14,KEGG_2021_Human,Chagas disease,4/102,2.901041852278447e-06,1.5472223212151714e-05,0,0,50.71938775510204,646.6945421627448,C3;CCL5;CALR;CD3D,1,1
15,KEGG_2021_Human,Allograft rejection,3/38,7.054141025398755e-06,3.5270705126993774e-05,0,0,100.56302521008404,1192.8681197467536,HLA-B;HLA-A;HLA-F,1,1
16,KEGG_2021_Human,Graft-versus-host disease,3/42,9.575094300590784e-06,4.50592672968978e-05,0,0,90.23076923076924,1042.737914575217,HLA-B;HLA-A;HLA-F,1,1
17,KEGG_2021_Human,Type I diabetes mellitus,3/43,1.0286672165207128e-05,4.571854295647613e-05,0,0,87.97058823529412,1010.312424773928,HLA-B;HLA-A;HLA-F,1,1
18,KEGG_2021_Human,Autoimmune thyroid disease,3/53,1.940242439066148e-05,8.169441848699569e-05,0,0,70.34117647058824,763.2096802766982,HLA-B;HLA-A;HLA-F,1,1
19,KEGG_2021_Human,PI3K-Akt signaling pathway,5/354,2.1037334863140287e-05,8.414933945256115e-05,0,0,18.74976122254059,201.9201507072224,COL1A1;ITGA4;FN1;ITGAV;ITGB7,1,1
20,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,4/193,3.6082402498459696e-05,0.0001374567714227036,0,0,26.178571428571427,267.7990702843502,C3;HLA-B;HLA-A;HLA-F,1,1
21,KEGG_2021_Human,Viral carcinogenesis,4/203,4.394763690537216e-05,0.00015980958874680783,0,0,24.850502512562816,249.3129572845683,C3;HLA-B;HLA-A;HLA-F,1,1
22,KEGG_2021_Human,Leishmaniasis,3/77,5.9666458152070285e-05,0.0001988881938402343,0,0,47.47058823529412,461.7340948301653,C3;ITGA4;ITGB2,1,1
23,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,3/77,5.9666458152070285e-05,0.0001988881938402343,0,0,47.47058823529412,461.7340948301653,ITGA4;ITGAV;ITGB7,1,1
24,KEGG_2021_Human,Complement and coagulation cascades,3/85,8.015427688190231e-05,0.0002564936860220874,0,0,42.82209469153515,403.8790406182925,C3;ITGB2;ITGAX,1,1
25,KEGG_2021_Human,Hypertrophic cardiomyopathy,3/90,9.503457079054536e-05,0.0002924140639709088,0,0,40.35091277890466,373.7006911121373,ITGA4;ITGAV;ITGB7,1,1
26,KEGG_2021_Human,Dilated cardiomyopathy,3/96,0.00011514055840279767,0.0003411572100823635,0,0,37.73624288425047,342.2434558750413,ITGA4;ITGAV;ITGB7,1,1
27,KEGG_2021_Human,Hematopoietic cell lineage,3/99,0.0001261560956566538,0.0003604459875904395,0,0,36.5514705882353,328.1587580174437,ITGA4;CD3D;CD44,1,1
28,KEGG_2021_Human,Amoebiasis,3/102,0.00013783717764729214,0.0003802404900614956,0,0,35.43850267379679,315.0283525400414,COL1A1;ITGB2;FN1,1,1
29,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,3/131,0.00028855049794020246,0.0007694679945072065,0,0,27.36948529411765,223.07883396526145,ITGB2;HLA-B;HLA-A,1,1
30,KEGG_2021_Human,Cellular senescence,3/156,0.000481365021138088,0.0012422323126144,0,0,22.868512110726645,174.68992718194062,HLA-B;HLA-A;HLA-F,1,1
31,KEGG_2021_Human,Primary immunodeficiency,2/38,0.0006535983868982156,0.0016339959672455,0,0,61.55555555555556,451.387965030658,PTPRC;CD3D,1,1
32,KEGG_2021_Human,Tuberculosis,3/180,0.0007301301231801276,0.0017700124198306,0,0,19.743768693918245,142.59517954248318,C3;ITGB2;ITGAX,1,1
33,KEGG_2021_Human,Intestinal immune network for IgA production,2/48,0.0010424693212675,0.0024528689912178,0,0,48.14975845410628,330.6040915341501,ITGA4;ITGB7,1,1
34,KEGG_2021_Human,Malaria,2/50,0.0011307590059983,0.0025845920137104,0,0,46.138888888888886,313.0461870363529,ITGB2;SDC1,1,1
35,KEGG_2021_Human,Legionellosis,2/57,0.0014670547641947,0.0032601216982105,0,0,40.25252525252525,262.627538609776,C3;ITGB2,1,1
36,KEGG_2021_Human,Shigellosis,3/246,0.0017950683835049,0.0038812289373079,0,0,14.333333333333334,90.62554097587316,C3;CCL5;CD44,1,1
37,KEGG_2021_Human,Endocytosis,3/252,0.0019228441068388,0.0040480928565029,0,0,13.983699503897943,87.45335588117806,HLA-B;HLA-A;HLA-F,1,1
38,KEGG_2021_Human,Pertussis,2/76,0.0025901140533562,0.005313054468423,0,0,29.88888888888889,178.0198173382836,C3;ITGB2,1,1
39,KEGG_2021_Human,Small cell lung cancer,2/92,0.0037680465442261,0.0075093822705099,0,0,24.55555555555556,137.04943154835937,FN1;ITGAV,1,1
40,KEGG_2021_Human,Rheumatoid arthritis,2/93,0.0038485584136363,0.0075093822705099,0,0,24.284493284493283,135.02315810678772,CCL5;ITGB2,1,1
41,KEGG_2021_Human,Staphylococcus aureus infection,2/95,0.0040119852700405,0.0076418767048391,0,0,23.759856630824373,131.11803417110073,C3;ITGB2,1,1
42,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.004434499847536,0.0082502322744856,0,0,22.54195011337869,122.13995997533476,COL1A1;FN1,1,1
43,KEGG_2021_Human,T cell receptor signaling pathway,2/104,0.0047867577714046,0.0087031959480083,0,0,21.65359477124183,115.67138059180392,PTPRC;CD3D,1,1
44,KEGG_2021_Human,Leukocyte transendothelial migration,2/114,0.0057221397634708,0.010172692912837,0,0,19.71031746031746,101.77249874583728,ITGA4;ITGB2,1,1
45,KEGG_2021_Human,Yersinia infection,2/137,0.0081633472444682,0.0141971256425534,0,0,16.333333333333332,78.53231621226735,ITGA4;FN1,1,1
46,KEGG_2021_Human,Fluid shear stress and atherosclerosis,2/139,0.0083942929149811,0.0142881581531593,0,0,16.093268450932683,76.9290936521396,SDC1;ITGAV,1,1
47,KEGG_2021_Human,Neutrophil extracellular trap formation,2/189,0.0150924344910985,0.0251540574851642,0,0,11.760546642899584,49.31857782921134,C3;ITGB2,1,1
0,KEGG_2021_Human,PI3K-Akt signaling pathway,16/354,1.16890321248324e-22,4.7227518737283066e-21,0,0,103.28468113083498,5215.959661286612,ITGB1;HSP90AA1;FN1;TNC;THBS2;THBS1;VEGFA;HSP90B1;COL1A1;COMP;COL1A2;ERBB3;ERBB2;ITGA6;ITGAV;ITGB6,2,2
1,KEGG_2021_Human,ECM-receptor interaction,12/88,1.1956333857540018e-22,4.7227518737283066e-21,0,0,241.68825910931173,12199.98730720534,COL1A1;ITGB1;COMP;COL1A2;FN1;TNC;ITGA6;ITGAV;ITGB6;CD36;THBS2;THBS1,2,2
2,KEGG_2021_Human,Focal adhesion,13/201,3.369818245182476e-20,8.873854712313854e-19,0,0,114.02083333333331,5112.334208614134,ITGB1;FN1;TNC;THBS2;THBS1;VEGFA;COL1A1;COMP;COL1A2;ERBB2;ITGA6;ITGAV;ITGB6,2,2
3,KEGG_2021_Human,Human papillomavirus infection,12/331,1.4839092338461417e-15,2.93072073684613e-14,0,0,56.87774294670847,1942.0391390520865,COL1A1;ITGB1;COMP;COL1A2;FN1;TNC;ITGA6;ITGAV;ITGB6;THBS2;THBS1;VEGFA,2,2
4,KEGG_2021_Human,Proteoglycans in cancer,10/205,2.9345419947085855e-14,4.636576351639564e-13,0,0,67.62393162393163,2107.137358721581,COL1A1;ITGB1;COL1A2;ERBB3;GPC1;ERBB2;FN1;ITGAV;THBS1;VEGFA,2,2
5,KEGG_2021_Human,Pathways in cancer,9/531,8.569508822204385e-09,1.128318661590244e-07,0,0,20.96228448275862,389.37559598882257,ITGB1;HSP90AA1;CDH1;ERBB2;FN1;ITGA6;ITGAV;VEGFA;HSP90B1,2,2
6,KEGG_2021_Human,Phagosome,6/152,2.7429006681248567e-08,3.095559325455196e-07,0,0,42.88896899783706,746.768349471025,ITGB1;COMP;ITGAV;CD36;THBS2;THBS1,2,2
7,KEGG_2021_Human,Bladder cancer,4/41,1.8630950015221925e-07,1.8398063140031647e-06,0,0,102.64092664092664,1590.5090771112336,CDH1;ERBB2;THBS1;VEGFA,2,2
8,KEGG_2021_Human,Malaria,4/50,4.205009693617207e-07,3.6910640643973264e-06,0,0,82.52173913043478,1211.569241792194,COMP;CD36;THBS2;THBS1,2,2
9,KEGG_2021_Human,Fluid shear stress and atherosclerosis,5/139,7.165768410577245e-07,5.660957044356023e-06,0,0,37.01679104477612,523.7424457694602,HSP90AA1;GPC1;ITGAV;VEGFA;HSP90B1,2,2
10,KEGG_2021_Human,Cell adhesion molecules,5/148,9.776244361598689e-07,7.021120950602693e-06,0,0,34.67132867132867,479.786708903718,ITGB1;CDH1;ITGA6;ITGAV;PTPRF,2,2
11,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,4/77,2.4155132216897017e-06,1.5902128709457203e-05,0,0,51.92954990215264,671.6359632230644,ITGB1;ITGA6;ITGAV;ITGB6,2,2
12,KEGG_2021_Human,Hypertrophic cardiomyopathy,4/90,4.511303107426435e-06,2.741484196051449e-05,0,0,44.05094130675526,542.2197110881452,ITGB1;ITGA6;ITGAV;ITGB6,2,2
13,KEGG_2021_Human,Small cell lung cancer,4/92,4.924921170579454e-06,2.7790626605412637e-05,0,0,43.04545454545455,526.0672076409821,ITGB1;FN1;ITGA6;ITGAV,2,2
14,KEGG_2021_Human,IL-17 signaling pathway,4/94,5.365961214971553e-06,2.8260729065516844e-05,0,0,42.08465608465608,510.7156098397375,HSP90AA1;S100A9;S100A8;HSP90B1,2,2
15,KEGG_2021_Human,Dilated cardiomyopathy,4/96,5.8355673666745e-06,2.8813113872955343e-05,0,0,41.165631469979296,496.10921566723687,ITGB1;ITGA6;ITGAV;ITGB6,2,2
16,KEGG_2021_Human,Regulation of actin cytoskeleton,5/218,6.535935816096733e-06,3.013039713572355e-05,0,0,23.19483568075117,276.90447182557085,ITGB1;FN1;ITGA6;ITGAV;ITGB6,2,2
17,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,4/100,6.865153777759796e-06,3.013039713572355e-05,0,0,39.44246031746032,468.9334664055757,COL1A1;COL1A2;FN1;VEGFA,2,2
18,KEGG_2021_Human,MicroRNAs in cancer,5/310,3.567372063488338e-05,0.0001483275752713572,0,0,16.12295081967213,165.11669128977732,ERBB3;ERBB2;TNC;THBS1;VEGFA,2,2
19,KEGG_2021_Human,Adherens junction,3/71,9.32234562086695e-05,0.00036823265202424457,0,0,39.92045454545455,370.48222519399377,CDH1;ERBB2;PTPRF,2,2
20,KEGG_2021_Human,Bacterial invasion of epithelial cells,3/77,0.00011872375145321811,0.0004466274459430587,0,0,36.67260442260442,331.47307958978314,ITGB1;CDH1;FN1,2,2
21,KEGG_2021_Human,Rap1 signaling pathway,4/210,0.00012567242912732806,0.0004512782682299507,0,0,18.2792417938049,164.1810753169122,ITGB1;CDH1;THBS1;VEGFA,2,2
22,KEGG_2021_Human,Prostate cancer,3/97,0.0002353859754423274,0.0008084996547801681,0,0,28.84090909090909,240.94514370450875,HSP90AA1;ERBB2;HSP90B1,2,2
23,KEGG_2021_Human,Amoebiasis,3/102,0.0002729897357288534,0.0008985912134408091,0,0,27.37741046831956,224.6611208844998,COL1A1;COL1A2;FN1,2,2
24,KEGG_2021_Human,Platelet activation,3/124,0.0004842171900831711,0.0015301263206628,0,0,22.374906085649886,170.7871437987668,COL1A1;ITGB1;COL1A2,2,2
25,KEGG_2021_Human,Relaxin signaling pathway,3/129,0.0005434610443625707,0.0016512854809478,0,0,21.48160173160173,161.48906943463453,COL1A1;COL1A2;VEGFA,2,2
26,KEGG_2021_Human,Axon guidance,3/182,0.0014710842949236,0.0043042836777394,0,0,15.080751650584054,98.35297554164488,ITGB1;SEMA4C;PLXNB2,2,2
27,KEGG_2021_Human,Diabetic cardiomyopathy,3/203,0.0020098091655677,0.0056705330028519,0,0,13.482954545454543,83.72531187958572,COL1A1;COL1A2;CD36,2,2
28,KEGG_2021_Human,Lipid and atherosclerosis,3/215,0.0023662281470012,0.0062554606298227,0,0,12.71204974271012,76.86287601708993,HSP90AA1;CD36;HSP90B1,2,2
29,KEGG_2021_Human,Endometrial cancer,2/58,0.0023754913784137,0.0062554606298227,0,0,30.930124223602483,186.8968520281422,CDH1;ERBB2,2,2
30,KEGG_2021_Human,Chemical carcinogenesis,3/239,0.0031913737998027,0.0079718785117726,0,0,11.405431432973806,65.55047937712337,HSP90AA1;VEGFA;HSP90B1,2,2
31,KEGG_2021_Human,Calcium signaling pathway,3/240,0.0032291153465408,0.0079718785117726,0,0,11.356731875719218,65.13707018664526,ERBB3;ERBB2;VEGFA,2,2
32,KEGG_2021_Human,Pancreatic cancer,2/76,0.0040397406896228,0.009670894378188,0,0,23.38542890716804,128.890540062766,ERBB2;VEGFA,2,2
33,KEGG_2021_Human,ErbB signaling pathway,2/85,0.0050256606650963,0.0116772703689003,0,0,20.840230487166057,110.31147379580284,ERBB3;ERBB2,2,2
34,KEGG_2021_Human,MAPK signaling pathway,3/294,0.0056915018482802,0.0128465327432611,0,0,9.223992502343018,47.67679830132992,ERBB3;ERBB2;VEGFA,2,2
35,KEGG_2021_Human,TGF-beta signaling pathway,2/94,0.0061111598513641,0.013410600784938,0,0,18.793005671077506,95.79995291250644,THBS1;FBN1,2,2
36,KEGG_2021_Human,Hematopoietic cell lineage,2/99,0.0067564423254116,0.0144259173975005,0,0,17.81981174361273,89.05021124053485,ITGA6;CD36,2,2
37,KEGG_2021_Human,Protein digestion and absorption,2/103,0.0072940666337881,0.0151639806334016,0,0,17.110632802410677,84.19618904330586,COL1A1;COL1A2,2,2
38,KEGG_2021_Human,Insulin resistance,2/108,0.0079925381793877,0.0160680646710752,0,0,16.299425758818703,78.7139513198353,CD36;PTPRF,2,2
39,KEGG_2021_Human,HIF-1 signaling pathway,2/109,0.0081357289473798,0.0160680646710752,0,0,16.146281999187323,77.68767334306337,ERBB2;VEGFA,2,2
40,KEGG_2021_Human,Toxoplasmosis,2/112,0.0085722422040996,0.0165172471737529,0,0,15.703557312252965,74.73677741296086,ITGB1;ITGA6,2,2
41,KEGG_2021_Human,Yersinia infection,2/137,0.0126051138276089,0.023158232380956,0,0,12.77938808373591,55.892605043800906,ITGB1;FN1,2,2
42,KEGG_2021_Human,Estrogen signaling pathway,2/137,0.0126051138276089,0.023158232380956,0,0,12.77938808373591,55.892605043800906,HSP90AA1;HSP90B1,2,2
43,KEGG_2021_Human,Gastric cancer,2/149,0.0147833232232656,0.026542784878136,0,0,11.729074238391007,49.42931612079058,CDH1;ERBB2,2,2
44,KEGG_2021_Human,Tight junction,2/169,0.0187465499788547,0.0329106099628784,0,0,10.313980734183806,41.01607693200061,ITGB1;ERBB2,2,2
45,KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0191650954260513,0.0329139682316968,0,0,10.190892719320813,40.30156268946794,HSP90AA1;HSP90B1,2,2
