,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster,ordered_cluster,sample
7,KEGG_2021_Human,Regulation of actin cytoskeleton,5/218,8.020606975010073e-06,0.0001375911379955953,0,0,22.089201877934272,259.1835719567965,ITGB5;EGF;FN1;ITGA6;ITGAE,2,2,A1
8,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,5/219,8.20079630437323e-06,0.0001375911379955953,0,0,21.98486871384068,257.47093784027845,TGFB3;CANX;HLA-B;HLA-A;TNFRSF1A,2,2,A1
9,KEGG_2021_Human,Bladder cancer,3/41,2.0118464723773454e-05,0.0003037888173289792,0,0,68.43020594965675,739.9955237677673,EGF;CDH1;ERBB2,2,2,A1
10,KEGG_2021_Human,MAPK signaling pathway,5/294,3.387322953862e-05,0.0004649870600301473,0,0,16.217663536002636,166.9265545780892,EGF;TGFB3;ERBB2;MET;TNFRSF1A,2,2,A1
11,KEGG_2021_Human,Cell adhesion molecules,4/148,3.791777032373706e-05,0.000477131943240358,0,0,25.03787878787879,254.88787654016517,CDH1;HLA-B;ITGA6;HLA-A,2,2,A1
12,KEGG_2021_Human,Phagosome,4/152,4.2083394059137904e-05,0.0004888148079176787,0,0,24.35626535626536,245.4102549550317,ITGB5;CANX;HLA-B;HLA-A,2,2,A1
13,KEGG_2021_Human,Endometrial cancer,3/58,5.738724601054727e-05,0.0006189624391137599,0,0,47.238735177865614,461.3187716653817,EGF;CDH1;ERBB2,2,2,A1
14,KEGG_2021_Human,Adherens junction,3/71,0.00010511515842229564,0.000973425239886121,0,0,38.18286445012788,349.7723757477323,CDH1;ERBB2;MET,2,2,A1
15,KEGG_2021_Human,Melanoma,3/72,0.00010959092104678184,0.000973425239886121,0,0,37.62759924385633,343.11689727530154,EGF;CDH1;MET,2,2,A1
16,KEGG_2021_Human,Non-small cell lung cancer,3/72,0.00010959092104678184,0.000973425239886121,0,0,37.62759924385633,343.11689727530154,EGF;ERBB2;MET,2,2,A1
17,KEGG_2021_Human,Thyroid hormone synthesis,3/75,0.00012375963688097377,0.0009999937537905571,0,0,36.05434782608695,324.38707087904345,CANX;GNAS;HSP90B1,2,2,A1
18,KEGG_2021_Human,Pancreatic cancer,3/76,0.000128734691875851,0.0009999937537905571,0,0,35.55866587254318,318.52588541165494,EGF;TGFB3;ERBB2,2,2,A1
19,KEGG_2021_Human,Bacterial invasion of epithelial cells,3/77,0.0001338383109174152,0.0009999937537905571,0,0,35.07638072855464,312.8419646622961,CDH1;FN1;MET,2,2,A1
20,KEGG_2021_Human,Antigen processing and presentation,3/78,0.00013907197900398478,0.0009999937537905571,0,0,34.60695652173913,307.3277323038212,CANX;HLA-B;HLA-A,2,2,A1
21,KEGG_2021_Human,Rap1 signaling pathway,4/210,0.0001473060985704607,0.0010110554947336,0,0,17.44748455428067,153.9391184132572,EGF;CDH1;GNAS;MET,2,2,A1
22,KEGG_2021_Human,Human cytomegalovirus infection,4/225,0.00019194192446510345,0.0012513118285958,0,0,16.25092554504319,139.0805838706191,HLA-B;GNAS;HLA-A;TNFRSF1A,2,2,A1
23,KEGG_2021_Human,ECM-receptor interaction,3/88,0.00019888399924702983,0.0012513118285958,0,0,30.520204603580563,260.11725862710136,ITGB5;FN1;ITGA6,2,2,A1
24,KEGG_2021_Human,Hypertrophic cardiomyopathy,3/90,0.000212552623441213,0.0012838178455849,0,0,29.81559220389805,252.13021730456023,ITGB5;TGFB3;ITGA6,2,2,A1
25,KEGG_2021_Human,Chemical carcinogenesis,4/239,0.00024174588093043607,0.0013736902325617,0,0,15.271953578336555,127.17907893451589,NOTCH2;EGF;GNAS;HSP90B1,2,2,A1
26,KEGG_2021_Human,Calcium signaling pathway,4/240,0.0002456267303256178,0.0013736902325617,0,0,15.206471494607088,126.3915915736462,EGF;ERBB2;GNAS;MET,2,2,A1
27,KEGG_2021_Human,Prostate cancer,3/97,0.0002651547273213109,0.001429941565197,0,0,27.585568917668827,227.17259510257435,EGF;ERBB2;HSP90B1,2,2,A1
28,KEGG_2021_Human,Amoebiasis,3/102,0.00030745685299363466,0.0015475328267346,0,0,26.18577075098814,211.7689314177997,TGFB3;FN1;GNAS,2,2,A1
29,KEGG_2021_Human,Chagas disease,3/102,0.00030745685299363466,0.0015475328267346,0,0,26.18577075098814,211.7689314177997,TGFB3;GNAS;TNFRSF1A,2,2,A1
30,KEGG_2021_Human,Toxoplasmosis,3/112,0.0004046284662695075,0.0019709322066676,0,0,23.77143996808935,185.71535601511485,TGFB3;ITGA6;TNFRSF1A,2,2,A1
31,KEGG_2021_Human,MicroRNAs in cancer,4/310,0.0006464862946111971,0.0030506072026965,0,0,11.68627450980392,85.82351571308347,NOTCH2;ERBB2;TIMP3;MET,2,2,A1
32,KEGG_2021_Human,Breast cancer,3/147,0.0008934628042226501,0.0040882691950793,0,0,17.96195652173913,126.10022470604812,NOTCH2;EGF;ERBB2,2,2,A1
33,KEGG_2021_Human,Cellular senescence,3/156,0.0010608453942312,0.0047114016037918,0,0,16.89769820971867,115.7270823381469,TGFB3;HLA-B;HLA-A,2,2,A1
34,KEGG_2021_Human,Allograft rejection,2/38,0.0011099934165052,0.0047888287397798,0,0,46.15277777777778,313.9958634744484,HLA-B;HLA-A,2,2,A1
35,KEGG_2021_Human,Graft-versus-host disease,2/42,0.001355132075043,0.0056840262036526,0,0,41.52916666666667,274.25265129441186,HLA-B;HLA-A,2,2,A1
36,KEGG_2021_Human,Type I diabetes mellitus,2/43,0.0014201022558982,0.0057955524497469,0,0,40.51422764227642,265.65286017600937,HLA-B;HLA-A,2,2,A1
37,KEGG_2021_Human,Malaria,2/50,0.0019157650058532,0.0075623898052079,0,0,34.59375,216.47517339281177,TGFB3;MET,2,2,A1
38,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,3/193,0.0019532000159146,0.0075623898052079,0,0,13.581693363844394,84.7264905237309,HLA-B;HLA-A;TNFRSF1A,2,2,A1
39,KEGG_2021_Human,Autoimmune thyroid disease,2/53,0.0021498891156678,0.008115831411646,0,0,32.55392156862745,199.9572224537016,HLA-B;HLA-A,2,2,A1
40,KEGG_2021_Human,Regulation of lipolysis in adipocytes,2/55,0.0023131325887415,0.0085190980707311,0,0,31.32232704402516,190.09998180598296,GNAS;ADORA1,2,2,A1
41,KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.0025503488299533,0.0091691112695942,0,0,12.335136259621386,73.65957619463337,HLA-B;HLA-A;TNFRSF1A,2,2,A1
42,KEGG_2021_Human,Viral myocarditis,2/60,0.0027460963421768,0.009643268550435,0,0,28.614942528735632,168.75876647047502,HLA-B;HLA-A,2,2,A1
43,KEGG_2021_Human,Renal cell carcinoma,2/69,0.0036137240645745,0.0119420020195689,0,0,24.75995024875622,139.2256073402869,TGFB3;MET,2,2,A1
44,KEGG_2021_Human,Renin secretion,2/69,0.0036137240645745,0.0119420020195689,0,0,24.75995024875622,139.2256073402869,GNAS;ADORA1,2,2,A1
45,KEGG_2021_Human,Central carbon metabolism in cancer,2/70,0.0037170469862234,0.0119420020195689,0,0,24.39460784313725,136.4835800450302,ERBB2;MET,2,2,A1
46,KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.0037170469862234,0.0119420020195689,0,0,24.39460784313725,136.4835800450302,ADAM10;MET,2,2,A1
47,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,2/77,0.0044785083289091,0.0140886407846934,0,0,22.11,119.58116668405684,ITGB5;ITGA6,2,2,A1
48,KEGG_2021_Human,ErbB signaling pathway,2/85,0.0054295113427952,0.0167317594441241,0,0,19.970883534136547,104.16625407098388,EGF;ERBB2,2,2,A1
49,KEGG_2021_Human,Colorectal cancer,2/86,0.0055543621266744,0.0167741736225567,0,0,19.732142857142858,102.47240569174454,EGF;TGFB3,2,2,A1
50,KEGG_2021_Human,Gap junction,2/88,0.0058080101471435,0.0171962653376211,0,0,19.271317829457363,99.21871235928316,EGF;GNAS,2,2,A1
51,KEGG_2021_Human,Morphine addiction,2/91,0.006198297963868,0.0179989037027705,0,0,18.618913857677903,94.64888639387834,GNAS;ADORA1,2,2,A1
52,KEGG_2021_Human,Small cell lung cancer,2/92,0.0063309980598904,0.0180373718310085,0,0,18.41111111111111,93.20251961184748,FN1;ITGA6,2,2,A1
53,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0074389947886241,0.020801633575597,0,0,16.901360544217688,82.83389842043363,TGFB3;FN1,2,2,A1
54,KEGG_2021_Human,HIF-1 signaling pathway,2/109,0.0087825701831152,0.0241121472300072,0,0,15.472741433021806,73.26321689246383,EGF;ERBB2,2,2,A1
55,KEGG_2021_Human,Sphingolipid signaling pathway,2/119,0.0103932050776124,0.0280245351199905,0,0,14.143162393162394,64.58620844047488,ADORA1;TNFRSF1A,2,2,A1
56,KEGG_2021_Human,FoxO signaling pathway,2/131,0.012485247380843,0.0325046957673671,0,0,12.819767441860463,56.191701327620784,EGF;TGFB3,2,2,A1
57,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,2/131,0.012485247380843,0.0325046957673671,0,0,12.819767441860463,56.191701327620784,HLA-B;HLA-A,2,2,A1
58,KEGG_2021_Human,Estrogen signaling pathway,2/137,0.0135948431152079,0.0347935815321422,0,0,12.246296296296295,52.63537431715434,GNAS;HSP90B1,2,2,A1
59,KEGG_2021_Human,Fluid shear stress and atherosclerosis,2/139,0.013973961266051,0.0351678025195619,0,0,12.066301703163017,51.52986046289262,TNFRSF1A;HSP90B1,2,2,A1
60,KEGG_2021_Human,Phospholipase D signaling pathway,2/148,0.0157363858372094,0.0389540042855513,0,0,11.317351598173516,46.98715038313553,EGF;GNAS,2,2,A1
61,KEGG_2021_Human,Hepatitis C,2/157,0.0175894542914014,0.0428388322258325,0,0,10.655376344086022,43.05257655939376,EGF;TNFRSF1A,2,2,A1
62,KEGG_2021_Human,Hippo signaling pathway,2/163,0.0188741133720413,0.0452379542726704,0,0,10.255175983436851,40.71267904351928,TGFB3;CDH1,2,2,A1
63,KEGG_2021_Human,Hepatocellular carcinoma,2/168,0.0199742365776015,0.0471267144252787,0,0,9.943775100401606,38.9130944948488,TGFB3;MET,2,2,A1
64,KEGG_2021_Human,Protein processing in endoplasmic reticulum,2/171,0.0206470517624391,0.047964689478897,0,0,9.76577909270217,37.89300749341654,CANX;HSP90B1,2,2,A1
0,KEGG_2021_Human,ECM-receptor interaction,27/88,2.365230156105984e-40,4.4939372966013686e-38,0,0,100.86206896551724,9202.91019055206,ITGB1;LAMA5;ITGB5;LAMA2;SDC4;ITGB4;TNC;LAMC2;THBS1;COMP;ITGAV;CD36;ITGB6;LAMB3;ITGA3;LAMB2;ITGA2;FN1;LAMB1;HSPG2;COL1A1;COL1A2;COL6A2;COL6A1;SDC1;AGRN;CD44,3,3,A1
1,KEGG_2021_Human,PI3K-Akt signaling pathway,37/354,8.400670832048488e-37,7.980637290446064e-35,0,0,29.66336187471834,2464.056473756362,ITGB1;LAMA5;ITGB5;LAMA2;ITGB4;TNC;LAMC2;FGF2;AREG;THBS1;EGFR;IGF1R;COMP;FGF6;ERBB3;ERBB2;ITGAV;ITGB6;NGFR;HSP90AA1;LAMB3;ITGA3;LAMB2;ITGA2;FN1;VEGFB;LAMB1;VEGFA;COL1A1;EFNA1;EFNA3;COL1A2;COL6A2;COL6A1;FGFR4;FGFR3;FGFR2,3,3,A1
2,KEGG_2021_Human,Pathways in cancer,40/531,3.2846844644484336e-34,2.0803001608173412e-32,0,0,21.35190179996697,1646.2022179828336,RET;ITGB1;NOTCH3;LAMA5;NOTCH1;LAMA2;LRP5;CXCR4;LAMC2;FGF2;EGFR;IGF1R;GNAI2;FGF6;CDH1;ERBB2;ITGAV;FZD1;JAG2;HSP90AA1;TGFB1;FZD2;LAMB3;TGFB3;FZD4;WNT3A;ITGA3;LAMB2;ITGA2;WNT7B;FN1;VEGFB;LAMB1;ESR1;VEGFA;ADCY9;CALM3;FGFR4;FGFR3;FGFR2,3,3,A1
3,KEGG_2021_Human,Proteoglycans in cancer,29/205,1.2836595156052945e-32,6.0973826991251485e-31,0,0,38.20788770053476,2805.720122430232,ITGB1;SDC4;ITGB5;FGF2;THBS1;EGFR;IGF1R;ERBB3;PLAU;GPC1;ERBB2;GPC3;ITGAV;FZD1;TGFB1;FZD2;LUM;FZD4;WNT3A;ITGA2;WNT7B;FN1;ESR1;HSPG2;VEGFA;COL1A1;COL1A2;SDC1;CD44,3,3,A1
4,KEGG_2021_Human,Focal adhesion,26/201,3.433914216152509e-28,1.3048874021379535e-26,0,0,33.27831168831169,2104.4765644439985,ITGB1;LAMA5;ITGB5;LAMA2;ITGB4;TNC;LAMC2;THBS1;EGFR;IGF1R;COMP;ERBB2;ITGAV;ITGB6;LAMB3;ITGA3;LAMB2;ITGA2;FN1;VEGFB;LAMB1;VEGFA;COL1A1;COL1A2;COL6A2;COL6A1,3,3,A1
5,KEGG_2021_Human,Human papillomavirus infection,30/331,8.104008380395129e-28,2.5662693204584576e-26,0,0,23.238016136687232,1449.5879997359682,ITGB1;NOTCH3;LAMA5;NOTCH1;ITGB5;LAMA2;ITGB4;TNC;LAMC2;THBS1;EGFR;COMP;ITGAV;ITGB6;FZD1;FZD2;LAMB3;FZD4;WNT3A;ITGA3;LAMB2;ITGA2;WNT7B;FN1;LAMB1;VEGFA;COL1A1;COL1A2;COL6A2;COL6A1,3,3,A1
6,KEGG_2021_Human,Rap1 signaling pathway,20/210,4.2945495837363227e-19,1.1656634584427161e-17,0,0,22.05599104143337,932.7869021621424,FARP2;ITGB1;NGFR;ITGB2;VEGFB;FGF2;THBS1;EGFR;IGF1R;VEGFA;GNAI2;EFNA1;FGF6;EFNA3;ADCY9;CDH1;CALM3;FGFR4;FGFR3;FGFR2,3,3,A1
7,KEGG_2021_Human,Axon guidance,17/182,3.2558075052296e-16,7.732542824920301e-15,0,0,20.947016557325835,746.9899060200094,EPHB6;ITGB1;BMPR2;SEMA4D;SEMA4C;CXCR4;SEMA3F;NTN1;GNAI2;EFNA1;EFNB1;EFNA3;PLXNB2;PLXNA1;NEO1;EPHB4;EPHB3,3,3,A1
8,KEGG_2021_Human,Amoebiasis,14/102,6.574463940922056e-16,1.3879423875279896e-14,0,0,31.49681818181818,1101.0710754205115,LAMA5;TGFB1;LAMA2;LAMB3;TGFB3;LAMB2;ITGB2;FN1;LAMC2;LAMB1;COL1A1;COL3A1;COL1A2;CD14,3,3,A1
9,KEGG_2021_Human,Breast cancer,15/147,5.333467298829187e-15,1.0133587867775457e-13,0,0,22.67447199265381,745.1914167252887,FZD1;JAG2;NOTCH3;FZD2;NOTCH1;FZD4;WNT3A;WNT7B;LRP5;ESR1;FGF2;EGFR;IGF1R;FGF6;ERBB2,3,3,A1
10,KEGG_2021_Human,MAPK signaling pathway,18/294,6.879192224032372e-14,1.1882241114237733e-12,0,0,13.322010869565217,403.7593764928241,NGFR;TGFB1;TGFB3;VEGFB;FGF2;AREG;EGFR;IGF1R;VEGFA;EFNA1;FGF6;EFNA3;ERBB3;ERBB2;CD14;FGFR4;FGFR3;FGFR2,3,3,A1
11,KEGG_2021_Human,Regulation of actin cytoskeleton,16/218,1.1472761374107022e-13,1.8165205509002784e-12,0,0,15.90947666195191,474.0421975335727,ITGB1;ITGB5;ITGA3;ITGB4;ITGA2;ITGB2;FN1;CXCR4;FGF2;EGFR;FGF6;ITGAV;ITGB6;FGFR4;FGFR3;FGFR2,3,3,A1
12,KEGG_2021_Human,Gastric cancer,14/149,1.4403560373730204e-13,2.105135746929799e-12,0,0,20.48251851851852,605.6417705342077,FZD1;TGFB1;FZD2;TGFB3;FZD4;WNT3A;WNT7B;LRP5;FGF2;EGFR;FGF6;CDH1;ERBB2;FGFR2,3,3,A1
13,KEGG_2021_Human,Small cell lung cancer,11/92,4.60427976621964e-12,6.248665397012366e-11,0,0,26.11230972072396,681.6366432513104,ITGB1;LAMA5;LAMA2;LAMB3;ITGA3;LAMB2;ITGA2;FN1;LAMC2;ITGAV;LAMB1,3,3,A1
14,KEGG_2021_Human,Dilated cardiomyopathy,11/96,7.412236254828956e-12,9.388832589450012e-11,0,0,24.87846944603084,637.5826517952116,ITGB1;ADCY9;TGFB1;ITGB5;LAMA2;ITGB4;ITGA3;TGFB3;ITGA2;ITGAV;ITGB6,3,3,A1
15,KEGG_2021_Human,Toxoplasmosis,11/112,4.0888105403928215e-11,4.855462516716474e-10,0,0,20.920407574738057,500.41995495707545,ITGB1;LAMA5;TGFB1;LAMA2;LAMB3;TGFB3;LAMB2;LAMC2;LAMB1;CCR5;GNAI2,3,3,A1
16,KEGG_2021_Human,Hypertrophic cardiomyopathy,10/90,9.460348630942712e-11,1.0007802238809318e-09,0,0,23.80528846153846,549.4576422487248,ITGB1;TGFB1;ITGB5;LAMA2;ITGB4;ITGA3;TGFB3;ITGA2;ITGAV;ITGB6,3,3,A1
17,KEGG_2021_Human,Calcium signaling pathway,14/240,9.481075805187776e-11,1.0007802238809318e-09,0,0,12.178761061946902,281.07531003764524,RET;VEGFB;CXCR4;FGF2;EGFR;VEGFA;FGF6;ADCY9;ERBB3;ERBB2;CALM3;FGFR4;FGFR3;FGFR2,3,3,A1
18,KEGG_2021_Human,MicroRNAs in cancer,15/310,2.6780928319177206e-10,2.678092831917721e-09,0,0,10.062146892655369,221.77722406314265,NOTCH3;NOTCH1;BMPR2;WNT3A;TNC;THBS1;EGFR;VEGFA;EFNA1;EFNA3;ERBB3;PLAU;ERBB2;FGFR3;CD44,3,3,A1
19,KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,11/143,5.808649572463215e-10,5.518217093840055e-09,0,0,15.982200647249192,339.88551509749766,FZD1;FZD2;BMPR2;FZD4;WNT3A;WNT7B;FGFR4;FGFR3;FGF2;FGFR2;IGF1R,3,3,A1
20,KEGG_2021_Human,Ras signaling pathway,13/232,7.573533881830733e-10,6.8522449407039965e-09,0,0,11.55888602558886,242.75037483776867,NGFR;VEGFB;FGF2;EGFR;IGF1R;VEGFA;EFNA1;FGF6;EFNA3;CALM3;FGFR4;FGFR3;FGFR2,3,3,A1
21,KEGG_2021_Human,Hippo signaling pathway,11/163,2.342897301084117e-09,2.0234113054817376e-08,0,0,13.8652273888605,275.5281003282162,FZD1;TGFB1;FZD2;BMPR2;TGFB3;CDH1;FZD4;WNT3A;WNT7B;ITGB2;AREG,3,3,A1
22,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,8/77,1.3184011697480376e-08,1.0480573293873697e-07,0,0,21.67569045665846,393.28938449212393,ITGB1;ITGB5;LAMA2;ITGB4;ITGA3;ITGA2;ITGAV;ITGB6,3,3,A1
23,KEGG_2021_Human,Malaria,7/50,1.3238618897524672e-08,1.0480573293873697e-07,0,0,30.189306672462507,547.6378753375301,COMP;TGFB1;TGFB3;ITGB2;SDC1;CD36;THBS1,3,3,A1
24,KEGG_2021_Human,Phagosome,10/152,1.6524325048728086e-08,1.2558487037033345e-07,0,0,13.369447453954496,239.55953904256089,COMP;ITGB1;ITGB5;ITGA2;ITGB2;ITGAV;CD14;CALR;CD36;THBS1,3,3,A1
25,KEGG_2021_Human,Hepatocellular carcinoma,10/168,4.291212428425714e-08,3.135886005388022e-07,0,0,12.005842259006815,203.6684459359261,FZD1;TGFB1;FZD2;TGFB3;FZD4;WNT3A;WNT7B;LRP5;EGFR;IGF1R,3,3,A1
26,KEGG_2021_Human,Relaxin signaling pathway,9/129,5.341015563475525e-08,3.75849243355685e-07,0,0,14.118571428571428,236.41921898530137,COL1A1;COL3A1;TGFB1;COL1A2;ADCY9;VEGFB;EGFR;VEGFA;GNAI2,3,3,A1
27,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,8/100,1.0460817081461458e-07,7.098411590991702e-07,0,0,16.237899917965546,260.992482666396,COL1A1;COL3A1;TGFB1;COL1A2;TGFB3;FN1;VEGFB;VEGFA,3,3,A1
28,KEGG_2021_Human,Melanogenesis,8/101,1.1307225495920214e-07,7.268697704456762e-07,0,0,16.062487319943195,256.92332037492514,FZD1;ADCY9;FZD2;FZD4;WNT3A;WNT7B;CALM3;GNAI2,3,3,A1
29,KEGG_2021_Human,Bladder cancer,6/41,1.1476891112300153e-07,7.268697704456762e-07,0,0,31.50952380952381,503.53306752503454,CDH1;ERBB2;THBS1;FGFR3;EGFR;VEGFA,3,3,A1
30,KEGG_2021_Human,Protein digestion and absorption,8/103,1.3177897565969114e-07,8.076775927529457e-07,0,0,15.7227408142999,249.0818571482648,COL1A1;COL18A1;COL3A1;COL16A1;COL1A2;COL6A2;COL7A1;COL6A1,3,3,A1
31,KEGG_2021_Human,Fluid shear stress and atherosclerosis,8/139,1.316738631139965e-06,7.818135622393543e-06,0,0,11.381247299438282,154.10610160617594,HSP90AA1;BMPR2;SDC4;GPC1;SDC1;CALM3;ITGAV;VEGFA,3,3,A1
32,KEGG_2021_Human,Cell adhesion molecules,8/148,2.111400884600672e-06,1.215655054770084e-05,0,0,10.644743935309974,139.1072052435649,ITGB1;PTPRC;SDC4;CDH1;ITGB2;SDC1;ITGAV;NEO1,3,3,A1
33,KEGG_2021_Human,Cushing syndrome,8/155,2.9829521941522123e-06,1.6669438732027066e-05,0,0,10.134257476575536,128.9340745658401,FZD1;ADCY9;FZD2;FZD4;WNT3A;WNT7B;EGFR;GNAI2,3,3,A1
34,KEGG_2021_Human,Adherens junction,6/71,3.181887306618778e-06,1.7273102521644798e-05,0,0,16.94102564102564,214.44011319611903,FARP2;CDH1;ERBB2;SORBS1;EGFR;IGF1R,3,3,A1
35,KEGG_2021_Human,Human cytomegalovirus infection,9/225,5.730820439133267e-06,3.024599676209224e-05,0,0,7.805555555555555,94.21033808567506,ADCY9;CXCR4;CALM3;ITGAV;CALR;CCR5;EGFR;VEGFA;GNAI2,3,3,A1
36,KEGG_2021_Human,Platelet activation,7/124,7.056452246089787e-06,3.62358358582989e-05,0,0,11.0538381659877,131.11585469707975,COL1A1;ITGB1;COL3A1;COL1A2;ADCY9;ITGA2;GNAI2,3,3,A1
37,KEGG_2021_Human,Alzheimer disease,11/369,8.568079535776992e-06,4.284039767888496e-05,0,0,5.825459673482671,67.96835816216623,FZD1;APP;FZD2;FZD4;WNT3A;WNT7B;LRP5;LPL;CALM3;APOE;RTN4,3,3,A1
38,KEGG_2021_Human,Prostate cancer,6/97,1.9469606239825243e-05,9.485192783504603e-05,0,0,12.084859584859585,131.0803142748467,HSP90AA1;PLAU;ERBB2;FGFR2;EGFR;IGF1R,3,3,A1
39,KEGG_2021_Human,mTOR signaling pathway,7/154,2.8920886136987164e-05,0.00013737420915068904,0,0,8.784601691143747,91.80740247512485,FZD1;FZD2;FZD4;WNT3A;WNT7B;LRP5;IGF1R,3,3,A1
