,cluster,pvals_adj,logfoldchanges,names,g,membership
315,2,0.0,44.78544,LGALS3BP_ITGB1,LGALS3BP_ITGB1,1
316,2,0.0,28.598164,VCAN_ITGB1,VCAN_ITGB1,1
317,2,0.0,19.875,COL11A1_ITGB1,COL11A1_ITGB1,1
318,2,0.0,27.460028,LAMB2_ITGB1,LAMB2_ITGB1,1
319,2,0.0,26.633167,ADAM15_ITGB1,ADAM15_ITGB1,1
320,2,0.0,42.432796,TIMP1_FGFR2,TIMP1_FGFR2,1
321,2,0.0,56.698025,AZGP1_ITGAV,AZGP1_ITGAV,1
322,2,0.0,53.948643,COL1A1_ITGAV,COL1A1_ITGAV,1
323,2,0.0,29.582796,FN1_SDC2,FN1_SDC2,1
324,2,0.0,19.617771,COL18A1_ITGB1,COL18A1_ITGB1,1
325,2,0.0,20.286886,COL6A3_ITGB1,COL6A3_ITGB1,1
326,2,0.0,16.960335,LAMA4_ITGB1,LAMA4_ITGB1,1
327,2,0.0,20.84067,MDK_ITGB1,MDK_ITGB1,1
328,2,0.0,38.473877,FN1_ITGAV,FN1_ITGAV,1
329,2,0.0,18.958025,TGFB3_ITGB1,TGFB3_ITGB1,1
330,2,0.0,18.577637,COL16A1_ITGB1,COL16A1_ITGB1,1
331,2,0.0,49.6791,COL1A2_ITGAV,COL1A2_ITGAV,1
332,2,0.0,15.992582,LAMA5_ITGB1,LAMA5_ITGB1,1
333,2,0.0,19.170073,THBS1_SDC4,THBS1_SDC4,1
334,2,0.0,25.224632,THBS2_ITGB1,THBS2_ITGB1,1
335,2,1.78651708230928e-309,27.890501,JAM3_ITGB1,JAM3_ITGB1,1
336,2,2.408307194565066e-309,15.081899,COL5A1_ITGB1,COL5A1_ITGB1,1
337,2,1.180567316348402e-307,54.715286,SPP1_ITGB1,SPP1_ITGB1,1
338,2,1.9139556915660972e-307,8.842932,BMP6_BMPR1B,BMP6_BMPR1B,1
339,2,4.719429846937244e-307,19.311222,RGMA_BMPR1B,RGMA_BMPR1B,1
340,2,2.4135341447082282e-306,16.435564,VEGFA_ITGB1,VEGFA_ITGB1,1
341,2,7.578139799643666e-306,21.725367,COL9A2_ITGB1,COL9A2_ITGB1,1
342,2,1.6936835589483058e-305,11.251975,LAMC3_ITGB1,LAMC3_ITGB1,1
343,2,1.862557534721745e-305,17.29912,FBN1_ITGB1,FBN1_ITGB1,1
344,2,5.74119361215026e-305,14.987482,COL4A5_ITGB1,COL4A5_ITGB1,1
345,2,7.180735868488657e-305,51.487896,LAMB2_RPSA,LAMB2_RPSA,1
346,2,4.215814255028402e-304,33.22673,EFNA1_EPHB6,EFNA1_EPHB6,1
347,2,4.215814255028402e-304,22.709425,TIMP2_ITGB1,TIMP2_ITGB1,1
348,2,5.61087131959159e-304,36.39629,LGALS1_ITGB1,LGALS1_ITGB1,1
349,2,7.531672073868595e-304,16.223797,TGM2_ITGB1,TGM2_ITGB1,1
350,2,2.171321749927573e-301,15.510347,FBLN1_ITGB1,FBLN1_ITGB1,1
351,2,4.6163756414397726e-299,12.337912,LAMC1_ITGB1,LAMC1_ITGB1,1
352,2,1.6291724978477302e-298,15.466496,AGRN_ITGB1,AGRN_ITGB1,1
353,2,8.2035591017004e-296,11.011623,BMP7_BMPR1B,BMP7_BMPR1B,1
354,2,1.7151188948670613e-295,23.812439,FGF1_FGFR2,FGF1_FGFR2,1
355,2,1.4184521472407288e-294,15.250017,COL4A1_ITGB1,COL4A1_ITGB1,1
356,2,5.491903130478504e-293,9.255413,NID1_ITGB1,NID1_ITGB1,1
357,2,6.651853203596723e-287,16.676842,COL5A2_ITGB1,COL5A2_ITGB1,1
358,2,1.2464310595444503e-285,12.367238,TGM2_SDC4,TGM2_SDC4,1
359,2,5.482915433502996e-284,15.12946,MDK_SDC4,MDK_SDC4,1
360,2,7.931436366939551e-282,9.675226,CD14_ITGB1,CD14_ITGB1,1
361,2,1.227125294352757e-270,11.31476,SEMA4D_PLXNB2,SEMA4D_PLXNB2,1
362,2,3.772285275504017e-269,11.303739,ADAM15_ITGAV,ADAM15_ITGAV,1
363,2,5.258006409837948e-265,28.12275,SPP1_ITGAV,SPP1_ITGAV,1
364,2,3.490051611446421e-263,5.219609,LAMA1_ITGB8,LAMA1_ITGB8,1
365,2,2.298546059703101e-256,11.641824,PSEN1_NCSTN,PSEN1_NCSTN,1
366,2,8.490521695670024e-256,12.045675,COL18A1_GPC1,COL18A1_GPC1,1
367,2,1.2367107329489539e-255,6.696266,PLAU_ITGAV,PLAU_ITGAV,1
368,2,1.716595875484004e-250,8.543379,LAMB3_ITGB1,LAMB3_ITGB1,1
369,2,4.413088307992254e-249,6.14442,LAMA1_SDC4,LAMA1_SDC4,1
370,2,5.202191173398995e-249,9.277736,CXCL12_ITGB1,CXCL12_ITGB1,1
371,2,8.690947799433857e-243,15.451355,LAMA1_RPSA,LAMA1_RPSA,1
372,2,3.3957033641932416e-242,7.7086954,LAMA4_ITGAV,LAMA4_ITGAV,1
373,2,2.4748169852012926e-235,7.3585763,COL4A5_ITGAV,COL4A5_ITGAV,1
374,2,7.140858902998831e-230,8.721676,COL9A3_ITGB1,COL9A3_ITGB1,1
375,2,6.856206763196871e-228,10.271082,SEMA4D_PLXNB1,SEMA4D_PLXNB1,1
376,2,4.104500155061043e-227,7.375792,TFPI_SDC4,TFPI_SDC4,1
378,2,1.378455259987644e-222,6.277272,BMP6_BMPR2,BMP6_BMPR2,1
379,2,4.637238377046345e-220,5.752284,LAMA1_GPC1,LAMA1_GPC1,1
380,2,4.876455932329338e-217,5.390385,CGA_RAMP3,CGA_RAMP3,1
382,2,3.773039955318225e-207,7.6091924,SEMA4C_PLXNB2,SEMA4C_PLXNB2,1
383,2,1.218833537138582e-205,15.391172,AGTRAP_RACK1,AGTRAP_RACK1,1
384,2,2.445241367086483e-205,5.0358562,ANOS1_SDC2,ANOS1_SDC2,1
385,2,1.1099036072562716e-202,6.8800426,FBN1_ITGAV,FBN1_ITGAV,1
386,2,2.196777848290492e-202,8.8278885,CDH1_PTPRF,CDH1_PTPRF,1
387,2,2.306997800707419e-201,5.62962,LIPH_LPAR1,LIPH_LPAR1,1
389,2,1.268664018543797e-199,6.5945034,CGA_ADCYAP1R1,CGA_ADCYAP1R1,1
390,2,1.9108939805549044e-195,5.969155,CGA_VIPR1,CGA_VIPR1,1
391,2,4.176259226710171e-195,5.6075544,ADAM17_ITGB1,ADAM17_ITGB1,1
392,2,8.837500288095812e-172,5.0551724,EBI3_IL6ST,EBI3_IL6ST,1
393,2,2.483963203996778e-164,8.50582,VEGFA_GPC1,VEGFA_GPC1,1
395,2,6.1794233227191915e-145,7.293755,ADIPOQ_ADIPOR1,ADIPOQ_ADIPOR1,1
396,2,1.6940513136875423e-144,12.597885,NCAM1_FGFR2,NCAM1_FGFR2,1
398,2,1.689342493946537e-126,5.8008504,COL4A1_ITGAV,COL4A1_ITGAV,1
399,2,4.675215919695463e-125,16.858847,CNTN2_CNTN1,CNTN2_CNTN1,1
400,2,1.8834294417738564e-123,10.426421,ARF1_INSR,ARF1_INSR,1
403,2,3.7368798410270524e-106,10.468767,LAMA2_RPSA,LAMA2_RPSA,1
404,2,4.603583016949389e-101,7.2420993,EDIL3_ITGAV,EDIL3_ITGAV,1
412,2,1.539797981286739e-76,5.751311,FGF1_FGFR3,FGF1_FGFR3,1
415,2,6.132580373628847e-71,10.524281,CALM2_INSR,CALM2_INSR,1
417,2,1.493662681740131e-70,17.380222,APP_RPSA,APP_RPSA,1
426,2,8.253349311978647e-30,6.5817356,CALM1_INSR,CALM1_INSR,1
610,3,8.290118624409459e-283,23.304836,FN1_ITGB8,FN1_ITGB8,1
611,3,4.4772818168448024e-279,24.24306,SPP1_ITGAV,SPP1_ITGAV,1
612,3,2.712671041374707e-275,21.600716,TIMP1_FGFR2,TIMP1_FGFR2,1
613,3,1.6571209823136326e-269,31.326744,SPP1_ITGB1,SPP1_ITGB1,1
614,3,1.7184365574233095e-269,28.001343,COL1A2_ITGAV,COL1A2_ITGAV,1
615,3,1.3310672861705549e-266,29.339108,AZGP1_ITGAV,AZGP1_ITGAV,1
616,3,2.843330124104766e-265,8.813239,TGM2_ITGB1,TGM2_ITGB1,1
617,3,2.843330124104766e-265,32.572323,COL1A2_ITGB1,COL1A2_ITGB1,1
618,3,1.1685299040087858e-263,15.599595,JAM3_ITGB1,JAM3_ITGB1,1
619,3,3.632056088759699e-261,12.725796,COL9A2_ITGB1,COL9A2_ITGB1,1
620,3,2.777225067219574e-260,8.619443,COL4A5_ITGB1,COL4A5_ITGB1,1
621,3,1.81615625123334e-256,9.549228,RGMA_BMPR1B,RGMA_BMPR1B,1
622,3,4.5728892092196934e-256,13.132759,THBS2_ITGB1,THBS2_ITGB1,1
623,3,4.649693985885484e-255,24.203577,COL3A1_ITGB1,COL3A1_ITGB1,1
624,3,9.595568892535413e-254,12.785541,VCAN_ITGB1,VCAN_ITGB1,1
625,3,4.8915416078260765e-248,5.314629,BMP6_BMPR2,BMP6_BMPR2,1
627,3,2.95287726574895e-246,24.589329,FN1_ITGB1,FN1_ITGB1,1
628,3,1.620134829191476e-244,12.068712,ADAM15_ITGB1,ADAM15_ITGB1,1
629,3,1.0098928198043446e-243,32.471527,COL1A1_ITGB1,COL1A1_ITGB1,1
630,3,1.8815214239487935e-242,14.524026,FGF1_FGFR2,FGF1_FGFR2,1
631,3,3.3004364760357423e-240,6.1593223,COL4A5_ITGAV,COL4A5_ITGAV,1
632,3,5.249478907828878e-240,15.747846,NCAM1_FGFR2,NCAM1_FGFR2,1
633,3,1.6405103520899445e-235,23.358309,CNTN2_CNTN1,CNTN2_CNTN1,1
634,3,2.6057878166356636e-235,20.332098,LGALS3BP_ITGB1,LGALS3BP_ITGB1,1
635,3,3.812812320605146e-234,7.4163666,TGM2_SDC4,TGM2_SDC4,1
636,3,6.357867708969484e-234,19.20216,FN1_ITGAV,FN1_ITGAV,1
637,3,4.296834149375596e-232,11.903043,LUM_ITGB1,LUM_ITGB1,1
638,3,8.416586684245854e-230,27.030197,COL1A1_ITGAV,COL1A1_ITGAV,1
639,3,2.7555992480408237e-228,13.1325655,FN1_SDC2,FN1_SDC2,1
640,3,6.541986040324397e-226,15.711363,EFNA1_EPHB6,EFNA1_EPHB6,1
641,3,8.242568169326102e-224,6.578907,LAMC1_ITGB1,LAMC1_ITGB1,1
642,3,2.6877430137320133e-223,6.6734467,SEMA4D_PLXNB2,SEMA4D_PLXNB2,1
643,3,1.4964655356035735e-220,7.4367223,LAMA4_ITGB1,LAMA4_ITGB1,1
644,3,6.8735578882936166e-217,7.8789372,HSPG2_ITGB1,HSPG2_ITGB1,1
645,3,1.0427840103607661e-213,7.888611,COL16A1_ITGB1,COL16A1_ITGB1,1
646,3,2.038542619408105e-213,16.023487,COL6A2_ITGB1,COL6A2_ITGB1,1
647,3,1.812382804147041e-208,11.65725,LAMB2_ITGB1,LAMB2_ITGB1,1
648,3,2.620737742877043e-204,6.726313,COL5A1_ITGB1,COL5A1_ITGB1,1
649,3,2.5606052222405684e-200,34.078243,HLA-B_CANX,HLA-B_CANX,1
650,3,1.9855483400491686e-198,8.429796,TGFB3_ITGB1,TGFB3_ITGB1,1
651,3,6.590367263630792e-197,6.9157643,SEMA4D_PLXNB1,SEMA4D_PLXNB1,1
653,3,2.8172614939819896e-191,8.661203,MDK_ITGB1,MDK_ITGB1,1
654,3,3.055394689269706e-188,6.451904,PSEN1_NCSTN,PSEN1_NCSTN,1
655,3,9.203404572149024e-188,11.167535,TIMP2_ITGB1,TIMP2_ITGB1,1
657,3,1.384098681502972e-187,6.74998,ADAM15_ITGAV,ADAM15_ITGAV,1
658,3,1.3562457629049836e-185,7.2907696,COL11A1_ITGB1,COL11A1_ITGB1,1
659,3,3.638098140565398e-185,8.143839,COL6A3_ITGB1,COL6A3_ITGB1,1
661,3,1.0571683272520338e-176,7.767356,FGF13_FGFR2,FGF13_FGFR2,1
663,3,8.14691832642419e-173,6.6201057,LAMA5_ITGB1,LAMA5_ITGB1,1
664,3,3.411184076381478e-168,10.434412,COL6A1_ITGB1,COL6A1_ITGB1,1
665,3,1.3046388508837639e-164,5.618215,COL9A3_ITGB1,COL9A3_ITGB1,1
666,3,2.8801832767497434e-160,7.1935678,FBN1_ITGB1,FBN1_ITGB1,1
667,3,1.2827686063196604e-159,5.515035,AGRN_ITGB1,AGRN_ITGB1,1
674,3,1.1386911031201231e-143,20.31309,LAMB2_RPSA,LAMB2_RPSA,1
675,3,3.365741715833818e-142,7.8922067,EDIL3_ITGAV,EDIL3_ITGAV,1
676,3,1.5819723947663563e-141,6.9027925,COL4A1_ITGB1,COL4A1_ITGB1,1
677,3,2.592431768650188e-141,6.9072633,FBLN1_ITGB1,FBLN1_ITGB1,1
678,3,1.2461224836042827e-139,6.2918663,THBS1_SDC4,THBS1_SDC4,1
679,3,1.3487624759436307e-137,6.1448865,COL18A1_ITGB1,COL18A1_ITGB1,1
683,3,6.89902386826649e-130,14.446891,LGALS1_ITGB1,LGALS1_ITGB1,1
687,3,1.15588101956289e-122,5.8247952,MDK_SDC4,MDK_SDC4,1
717,3,6.799403183051307e-42,11.501291,APP_RPSA,APP_RPSA,1
915,4,0.0,24.620651,SST_SSTR2,SST_SSTR2,1
916,4,0.0,11.141242,CORT_SSTR2,CORT_SSTR2,1
917,4,0.0,13.368786,SLIT1_GPC1,SLIT1_GPC1,1
918,4,0.0,31.425547,BDNF_BEX3,BDNF_BEX3,1
919,4,0.0,6.011221,SEMA3A_PLXNA1,SEMA3A_PLXNA1,1
920,4,0.0,7.4107695,SEMA4A_PLXNB1,SEMA4A_PLXNB1,1
921,4,0.0,23.055988,BDNF_NTRK2,BDNF_NTRK2,1
922,4,0.0,5.7328305,SHANK1_SSTR2,SHANK1_SSTR2,1
923,4,0.0,26.352768,CALM1_RYR2,CALM1_RYR2,1
924,4,0.0,6.6821012,SEMA4A_PLXNB2,SEMA4A_PLXNB2,1
927,4,0.0,5.092935,SEMA3A_PLXNA2,SEMA3A_PLXNA2,1
928,4,0.0,17.55319,EFNB3_EPHB6,EFNB3_EPHB6,1
929,4,0.0,12.485841,EFNB2_EPHB6,EFNB2_EPHB6,1
930,4,0.0,24.244726,CALM3_RYR2,CALM3_RYR2,1
931,4,0.0,7.869856,FGF13_FGFR2,FGF13_FGFR2,1
932,4,0.0,13.467579,NCAM1_PTPRA,NCAM1_PTPRA,1
933,4,1.0644201986197758e-296,18.57617,CNTN2_CNTN1,CNTN2_CNTN1,1
934,4,2.6392025718052652e-281,6.0585217,RGMA_BMPR2,RGMA_BMPR2,1
935,4,2.0930292823438257e-277,16.198109,RIMS1_SLC17A7,RIMS1_SLC17A7,1
936,4,8.086281428164764e-274,7.5271616,AFDN_EPHB6,AFDN_EPHB6,1
941,4,2.405968512206127e-238,13.496196,ARF1_CHRM3,ARF1_CHRM3,1
942,4,2.8923055169246746e-237,6.913813,EFNB2_GRM5,EFNB2_GRM5,1
943,4,4.778041291842937e-223,10.786799,APOE_CHRNA4,APOE_CHRNA4,1
946,4,3.47158995752675e-212,20.04624,L1CAM_CNTN1,L1CAM_CNTN1,1
951,4,1.4182674761600023e-155,8.28323,RGMB_BMPR2,RGMB_BMPR2,1
953,4,1.9607698227642553e-141,5.696488,L1CAM_FGFR2,L1CAM_FGFR2,1
955,4,6.244019929357956e-137,9.404425,GNAS_VIPR1,GNAS_VIPR1,1
956,4,7.036993506867647e-136,8.103773,S100A1_RYR2,S100A1_RYR2,1
957,4,1.4061427299508925e-133,5.735777,ADAM10_TSPAN5,ADAM10_TSPAN5,1
958,4,2.5533911898424566e-132,5.0238705,EFNA1_EPHB6,EFNA1_EPHB6,1
961,4,1.207558972150423e-125,6.57502,NCAM1_FGFR2,NCAM1_FGFR2,1
969,4,1.4880081246174808e-88,7.736326,CALM1_VIPR1,CALM1_VIPR1,1
977,4,4.000946038890205e-76,6.536364,EFNA3_EPHB6,EFNA3_EPHB6,1
983,4,1.2936756374095337e-57,5.924587,FYN_THY1,FYN_THY1,1
992,4,2.473689829930202e-41,9.905561,GNAS_ADCY1,GNAS_ADCY1,1
1008,4,7.507750226789927e-31,6.0874805,SPTBN2_PTPRA,SPTBN2_PTPRA,1
1028,4,2.5323316313894076e-13,5.7458706,CALM2_GRM5,CALM2_GRM5,1
1056,4,0.0014396830140023143,5.047542,CALM3_GRM5,CALM3_GRM5,1
1222,5,0.0,5.42218,ADM2_RAMP1,ADM2_RAMP1,1
1223,5,0.0,5.820752,FABP5_RXRA,FABP5_RXRA,1
1224,5,5.377587609055442e-300,15.050893,SST_SSTR2,SST_SSTR2,1
1226,5,8.810260389067286e-251,8.616954,SLIT1_GPC1,SLIT1_GPC1,1
1227,5,2.418295388932364e-248,9.490789,EFNB2_EPHB6,EFNB2_EPHB6,1
1230,5,1.5611694655482864e-212,8.116945,SST_GRM7,SST_GRM7,1
1234,5,2.3038567783851816e-209,6.0910835,CORT_SSTR2,CORT_SSTR2,1
1236,5,6.551459487599678e-205,9.369574,EFNA3_EPHB6,EFNA3_EPHB6,1
1240,5,9.196067573503991e-175,8.23051,S100A1_RYR2,S100A1_RYR2,1
1241,5,1.1793387478073492e-170,5.8876243,AFDN_EPHB6,AFDN_EPHB6,1
1243,5,2.2892886313658826e-157,14.517845,CALM3_RYR2,CALM3_RYR2,1
1246,5,8.658543477703581e-150,9.876785,EFNB3_EPHB6,EFNB3_EPHB6,1
1253,5,2.8646850786256004e-132,7.152111,GNAI2_CHRM1,GNAI2_CHRM1,1
1258,5,3.8675275278554445e-120,12.247318,CALM1_RYR2,CALM1_RYR2,1
1259,5,1.6725852509496377e-119,6.962397,EFNA5_EPHB6,EFNA5_EPHB6,1
1264,5,1.2155146727206262e-106,7.9261656,PON2_HTR2A,PON2_HTR2A,1
1275,5,5.603147955199547e-84,6.370747,NCAM1_PTPRA,NCAM1_PTPRA,1
1278,5,2.631734152958616e-74,7.068402,RIMS1_SLC17A7,RIMS1_SLC17A7,1
1282,5,1.8497802948696238e-64,8.54424,SPTAN1_PTPRA,SPTAN1_PTPRA,1
1300,5,3.5427772904770714e-42,6.2244415,SPTBN2_PTPRA,SPTBN2_PTPRA,1
1306,5,1.3854084307586327e-35,9.277414,CCK_CCKBR,CCK_CCKBR,1
1331,5,3.8401064651166667e-19,6.2657676,APP_GRM7,APP_GRM7,1
1351,5,3.665622249874511e-09,6.653264,CALM3_GRM7,CALM3_GRM7,1
1355,5,2.703521480988889e-07,5.8094664,CALM2_GRM7,CALM2_GRM7,1
1366,5,0.0007146917662689957,5.163965,CALM1_GRM7,CALM1_GRM7,1
